キャラ名,スキル名,レベル,発動条件,スキル効果,スタミナ,CT,オプション1,オプション2,オプション3,オプション4
兵藤雫,ボーカルUPスキル,4,ステルス状態の時,全員に2段階ボーカル上昇効果[24ビート],684,60,ボーカル,ビジュアル,スタミナ,クリティカルスコア
兵藤雫,クリティカルスキル,4,クリティカル率上昇の時,センターに4段階クリティカル係数上昇効果[39ビート],670,70,ビジュアル,ボーカル,メンタル,Aスコア
兵藤雫,×(☆9),4,×,×,×,×,×,×,×,×
白石千紗,ボーカルUPスキル,4,スタミナ50%以下の時,センターに4段階ボーカル上昇効果[17ビート],679,60,ボーカル,ビジュアル,クリティカル,クリティカルスコア
白石千紗,ビジュアルUPスキル,4,誰かが集目状態の時,対象1人に4段階ビジュアル上昇効果[16ビート],639,55,ビジュアル,ボーカル,メンタル,ビートスコア
白石千紗,ビジュアルUPスキル,4,ビート時,スコアラータイプ2人にビジュアル上昇効果 確率10％,549,50,ビジュアル,ボーカル,スタミナ,ビートスコア
白石千紗,成功率UPスキル(☆9),4,消費スタミナ低下状態の時,自身に3段階スキル成功率上昇効果[28ビート],580,50,ボーカル,ダンス,クリティカル,SPスコア
一ノ瀬怜,ダンスUPスキル,4,×,スタミナが低い1人に3段階ダンス上昇効果[19ビート],571,60,ダンス,ボーカル,メンタル,ビートスコア
一ノ瀬怜,クリティカル率スキル,4,ビート時,自身に4段階クリティカル率上昇効果[32ビート] ライブ中2回のみ,684,60,ダンス,ボーカル,クリティカル,クリティカルスコア
一ノ瀬怜,スコアUPスキル,4,ダンス上昇状態の時,自身に4段階スコア上昇効果[28ビート],598,60,ダンス,ビジュアル,スタミナ,SPスコア
一ノ瀬怜,×(☆9),4,×,×,×,×,×,×,×,×
佐伯遙子,スタミナ回復スキル,4,ボーカル上昇状態の時,自身のスタミナを3000回復,607,60,ボーカル,ビジュアル,メンタル,ビートスコア
佐伯遙子,スコアUPスキル,4,ダンス上昇状態の時,自身に4段階スコア上昇効果[28ビート],598,60,ダンス,ボーカル,クリティカル,ビートスコア
佐伯遙子,クリティカル率スキル,4,誰かがSPスキル発動,対象1人に5段階クリティカル率上昇効果[24ビート] ライブ中2回のみ,643,45,ビジュアル,ダンス,スタミナ,Aスコア
佐伯遙子,与・Aスコア延長(☆9),4,×,付与するAスキルスコア上昇効果を6延長します,×,×,ダンス,ビジュアル,スタミナ,Aスコア
天動瑠依,ダンスUPスキル,4,集目状態の時,自身に4段階ダンス上昇効果[16ビート],639,55,ビジュアル,ダンス,クリティカル,ビートスコア
天動瑠依,クリティカル率スキル,4,×,センターに4段階クリティカル率上昇効果[26ビート],558,60,ボーカル,ダンス,スタミナ,クリティカルスコア
天動瑠依,スコア獲得スキル,4,クリティカル発動時,55％のスコア獲得自身に4段階の集目効果[30ビート],589,60,ボーカル,ビジュアル,メンタル,SPスコア
天動瑠依,×(☆9),4,×,×,×,×,×,×,×,×
鈴村優,ビジュアルUPスコア,4,×,自身に3段階ビジュアル上昇効果[19ビート],571,60,ダンス,ビジュアル,メンタル,クリティカルスコア
鈴村優,ビジュアルUPスコア,4,誰かがスタミナ消費低下状態の時,対象1人に3段階ビジュアル上昇効果[18ビート],540,50,ビジュアル,ボーカル,クリティカル,ビートスコア
鈴村優,クリティカルスキル,4,スタミナ80%以上の時,自身に5段階クリティカル係数上昇効果[30ビート],643,55,ボーカル,ダンス,スタミナ,SPスコア
鈴村優,スコアUPスキル(☆9),4,×,×,×,×,ボーカル,ダンス,クリティカル,クリティカルスコア
奥山すみれ,ダンスUPスキル,4,×,自身に3段階ダンス上昇効果[19ビート],571,60,ビジュアル,ダンス,メンタル,ビートスコア
奥山すみれ,AスキルUPスキル,4,スタミナ80%以上の時,自身に5段階Aスキルスコア上昇効果[29ビート],612,50,ビジュアル,ダンス,クリティカル,クリティカルスコア
奥山すみれ,スタミナ回復スキル,4,スタミナ30%以下の時,自身のスタミナを3400回復,688,50,ダンス,ビジュアル,スタミナ,Aスコア
奥山すみれ,与・クリティカル率延長(☆9),4,×,付与するクリティカル率上昇効果を10延長します,×,×,ボーカル,ダンス,スタミナ,Aスコア
神崎莉央,クリティカル率スキル,4,×,ダンスが高い3人に3段階クリティカル率上昇効果[30ビート],603,60,ダンス,ビジュアル,クリティカル,Aスコア
神崎莉央,スコア獲得スキル,4,スタミナ60％以上の時,70％のスコア獲得,549,50,ボーカル,ダンス,スタミナ,SPスコア
神崎莉央,ボーカルUPスキル,4,×,×,×,×,×,×,×,×
神崎莉央,スタミナ回復スキル(☆9),4,×,自身のスタミナを1350回復,454,40,ダンス,ビジュアル,メンタル,SPスコア
井川葵,スコアUPスキル,4,×,スコアラータイプ2人に3段階スコア上昇効果[38ビート],643,50,ボーカル,ダンス,メンタル,Aスコア
井川葵,ビートUPスキル,4,×,ダンスが高い1人に5段階ビートスコア上昇効果[39ビート],630,70,ビジュアル,ボーカル,クリティカル,クリティカルスコア
井川葵,AスキルUPスキル,4,50コンボ以上時,自身に4段階Aスキルスコア上昇効果[32ビート],540,50,ダンス,ビジュアル,スタミナ,SPスコア
井川葵,×(☆9),4,×,×,×,×,×,×,×,×
小美山愛,スコアUPスキル,4,×,スコアラータイプ1人に3段階スコア上昇効果[38ビート],612,60,ビジュアル,ボーカル,メンタル,ビートスコア
小美山愛,クリティカルスキル,4,誰かがクリティカル率上昇状態の時,対象1人に5段階クリティカル係数上昇効果[27ビート],580,55,ダンス,ビジュアル,クリティカル,クリティカルスコア
小美山愛,AスキルUPスキル,4,ダンス上昇状態の時,自身に4段階Aスキルスコア上昇効果[36ビート],607,60,ボーカル,ダンス,スタミナ,Aスコア
小美山愛,×(☆9),4,×,×,×,×,×,×,×,×
赤崎こころ,ビジュアルUPスキル,4,×,自身に1段階ビジュアル上昇効果[46ビート],459,40,ダンス,ビジュアル,スタミナ,クリティカルスコア
赤崎こころ,クリティカルスキル,4,×,センターに4段階クリティカル係数上昇効果[33ビート],567,55,ボーカル,ダンス,クリティカル,ビートスコア
赤崎こころ,スコア獲得スキル,4,スタミナ30%以下の時,65%のスコア獲得 自身に8段階消費スタミナ低下効果[35ビート],666,50,ビジュアル,ボーカル,メンタル,SPスコア
赤崎こころ,×(☆9),4,×,×,×,×,×,×,×,×
fran,被・コンボスコア延長(☆9),4,×,受けるコンボスコア上昇効果を9延長します,×,×,ボーカル,ダンス,ビジュアル,SPスコア
kana,スコアUPスコア(☆9),4,誰かが集目状態の時,自身に4段階スコア上昇効果[32ビート],684,60,ボーカル,ダンス,ビジュアル,ビートスコア
miho,強化効果延長スキル(☆9),4,誰かがビートスコア上昇状態の時,自身の強化効果を6延長,661,69,ボーカル,ダンス,ビジュアル,Aスコア
長瀬麻奈,成功率UPスキル(☆9),4,クリティカル率アップ状態の時,自身に3段階スキル成功率上昇効果[28ビート],580,50,ボーカル,ダンス,ビジュアル,SPスコア
初音ミク,被・スコア延長(☆9),4,×,受けるスコア上昇効果を7延長します,×,×,ボーカル,ダンス,ビジュアル,Aスコア
雪ミク,AスキルUPスキル(☆9),4,50コンボ以上時,自身に4段階Aスキルスコア上昇効果[61ビート] ライブ中1回のみ,1026,×,ボーカル,ダンス,ビジュアル,Aスコア
高海千歌,スコアUPスキル(☆9),4,100コンボ以上時,自身に4段階スコア上昇効果[32ビート],684,60,ボーカル,クリティカル,ビジュアル,SPスコア
桜内梨子,与・Aスコア延長(☆9),4,×,付与するAスキルスコア上昇効果を6延長します,×,×,クリティカル,ダンス,ボーカル,Aスコア
渡辺曜,強化効果延長スキル(☆9),4,テンションUP状態の時,隣接するアイドルの強化効果を5延長,580,50,ビジュアル,ダンス,クリティカル,Aスコア
